2019-10-22 18:51:47.039876	1	2	3	4	5	6	7	8	9
2019-10-22 18:51:49.045778	1	2	3	4	5	6	7	8	9
2019-10-22 18:51:51.051506	1	2	3	4	5	6	7	8	9
2019-10-22 18:51:53.077666	1	2	3	4	5	6	7	8	9
2019-10-22 18:51:55.083648	1	2	3	4	5	6	7	8	9
2019-10-22 18:51:57.089518	1	2	3	4	5	6	7	8	9
2019-10-22 18:51:59.095369	1	2	3	4	5	6	7	8	9
2019-10-22 18:52:01.101376	1	2	3	4	5	6	7	8	9
2019-10-22 18:52:03.107221	1	2	3	4	5	6	7	8	9
2019-10-22 18:52:05.113052	1	2	3	4	5	6	7	8	9
2019-10-22 18:52:07.119159	1	2	3	4	5	6	7	8	9
2019-10-22 18:52:09.124878	1	2	3	4	5	6	7	8	9
2019-10-22 18:52:11.130765	1	2	3	4	5	6	7	8	9
2019-10-22 19:35:06.832686	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:35:16.097637	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:35:27.890233	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:35:34.627071	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:35:41.363974	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:35:48.101086	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:35:54.837777	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:36:01.574736	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:36:08.311965	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:36:15.048793	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:36:26.841208	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:36:36.105976	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:36:42.842435	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:36:49.579519	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:36:56.317047	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:37:03.054074	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:37:09.791445	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:37:16.528153	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:37:25.792683	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:37:37.585038	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:37:44.321879	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:37:53.586643	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:38:02.851478	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:38:12.116574	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:38:21.381213	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:38:30.649445	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:38:37.386300	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:38:44.123233	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:38:55.917039	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:39:05.182252	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:39:11.919246	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:39:18.656502	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:39:25.393645	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:54:43.428161	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:55:48.171722	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:56:52.921271	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:57:57.671694	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 19:59:04.949338	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:00:09.744167	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:01:14.538806	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:02:19.333600	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:03:26.658936	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:04:31.421345	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:05:38.702607	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:06:46.025058	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:07:55.875397	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:09:08.253813	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:10:13.047679	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:11:20.370457	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:12:27.692063	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:13:37.541401	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:14:42.335016	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:15:52.184486	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:16:56.978428	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:18:04.299885	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:19:11.621680	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:20:16.415105	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:21:26.264379	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:22:31.058140	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:23:35.830732	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:24:45.685437	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:26:00.599809	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:27:12.977430	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:28:22.830624	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:29:32.679952	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:30:42.506150	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:31:47.299623	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 20:32:54.621222	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
22/10/2019 20:41:10	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 15:58:33.521986-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 15:59:40.846610-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:00:50.696018-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:01:58.021844-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:03:02.815864-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:04:07.556953-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:05:12.350981-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:06:17.144623-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:07:24.466377-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:08:29.260693-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:09:39.114683-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:10:43.892030-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:11:51.214210-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:13:01.019656-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:14:08.341794-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
2019-10-22 16:15:15.659618-05:00	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0
